"","n.patches","r1","r2","pred.avg.size","mean.sim.size"
"1",4,0.001,0.001,2.08669910076776,2.1613151538006
"2",4,0.001,0.101,0.927331239684716,0.673406769967227
"3",4,0.001,0.201,0.913909847101546,1.01563821551294
"4",4,0.001,0.301,0.909323624932702,0.676530840112042
"5",4,0.001,0.401,0.907008485507746,0.531303150789166
"6",4,0.001,0.501,0.905612223708465,0.619230393572999
"7",4,0.001,0.601,0.904678360944733,0.632249769359384
"8",4,0.001,0.701,0.904009826359249,0.79212841816058
"9",4,0.001,0.801,0.903507606919852,0.595771231718017
"10",4,0.001,0.901,0.903116505087144,0.480213284911426
"11",4,0.101,0.001,3.75839494254353,1.48662563574134
"12",4,0.101,0.101,2.08669910076776,0.598046384918324
"13",4,0.101,0.201,1.67713335407803,0.718111913432325
"14",4,0.101,0.301,1.48843317172668,1.08891795532915
"15",4,0.101,0.401,1.37738055259726,0.824661902121525
"16",4,0.101,0.501,1.30333178526558,0.731659495306594
"17",4,0.101,0.601,1.25005600897505,0.666718581523223
"18",4,0.101,0.701,1.2097070727844,0.483901218150447
"19",4,0.101,0.801,1.17799458950302,0.658477074702767
"20",4,0.101,0.901,1.15236044777869,0.612050056797311
"21",4,0.201,0.001,3.77742043251167,2.63499391905149
"22",4,0.201,0.101,2.56973123567409,0.961741827686457
"23",4,0.201,0.201,2.08669910076776,0.432944987966505
"24",4,0.201,0.301,1.83353546731814,1.06811437060829
"25",4,0.201,0.401,1.67585880481521,0.528752236421741
"26",4,0.201,0.501,1.56712959914,0.527026535371958
"27",4,0.201,0.601,1.48704997642466,0.710970227281769
"28",4,0.201,0.701,1.42530352883457,0.535727622649303
"29",4,0.201,0.801,1.37606065776519,0.636155985968254
"30",4,0.201,0.901,1.33576228599998,0.796615085229385
"31",4,0.301,0.001,3.78384701397414,2.25457545764439
"32",4,0.301,0.101,2.84743967158375,0.993705518766452
"33",4,0.301,0.201,2.36667532194848,0.922445723971099
"34",4,0.301,0.301,2.08669910076776,0.288983003909008
"35",4,0.301,0.401,1.90333404800533,0.477845861061806
"36",4,0.301,0.501,1.77316186117394,0.191588726345953
"37",4,0.301,0.601,1.67543216803211,0.616383347831358
"38",4,0.301,0.701,1.59902341058664,0.318877351788619
"39",4,0.301,0.801,1.53743108536848,0.46491204093289
"40",4,0.301,0.901,1.48658743114911,0.669586332496877
"41",4,0.401,0.001,3.78707642969164,1.89355168129754
"42",4,0.401,0.101,3.02572960317263,0.664198157575216
"43",4,0.401,0.201,2.57148775031415,0.156476251553915
