"","n.patches","r1","r2","pred.avg.size","mean.sim.size","mean.transition.time","T.absorp","T.eq","T.QED"
"1",2,0.01,0.01,1.35105259135099,0.978548920430067,72.5164997478984,170.710678118655,31.7171473978087,70.7106781186548
"2",2,0.01,0.25,0.985931652038465,0.841028322544866,3.05763522106233,4.15427106217473,12.6148867540842,51.8567765543685
"3",2,0.01,0.5,0.968608180191091,0.670619268604278,1.36107905636294,2.03924474489597,9,50.9622372447989
"4",2,0.01,0.75,0.962553070409368,0.986780554693144,0.918504454312985,1.35088311590942,2,50.6495670265392
"5",2,0.01,1,0.959468531910133,0.605117004080718,0.60873562803443,1.00990289431162,4,50.4902894311612
"6",2,0.25,0.01,1.84892289740521,1.19405778422053,34.868023446203,1396.41941385925,306.28068970352,3.85677655436824
"7",2,0.25,0.25,1.35105259135099,0.765334769755859,1.0263906530577,6.82842712474619,3.80111339121106,2.82842712474619
"8",2,0.25,0.5,1.22184670905561,0.451697671701904,2.14744983524705,2.78077640640442,3,2.56155281280883
"9",2,0.25,0.75,1.15839855905635,0.787928364861867,0.588501602587505,1.69905584690324,2,2.43050087404306
"10",2,0.25,1,1.11980260383681,0.672117282469248,0.765594876855446,1.21269526483955,6.30956855339027,2.35078105935821
"11",2,0.5,0.01,1.88169851896019,0.948726258705169,16.9054920583521,2648.11186223971,255.911549082368,1.96223724479848
"12",2,0.5,0.25,1.49371973462971,0.90229301365653,0.77453757039464,9.12310562561766,5.21415841201307,1.56155281280883
"13",2,0.5,0.5,1.35105259135099,0.712113361338016,0.171810292125231,3.41421356237309,4,1.4142135623731
"14",2,0.5,0.75,1.27273706313494,0.78078913252658,0.571601112075927,2,1,1.33333333333333
"15",2,0.5,1,1.22184670905561,0.825799444413117,0.595780914181658,1.39038820320221,1,1.28077640640442
"16",2,0.75,0.01,1.89342770307031,0.937438963005437,12.2560151266206,3898.71752699042,111,1.31623369320677
"17",2,0.75,0.25,1.57524831020603,0.817183252775504,1.71190988036693,11.2915026221292,1,1.09716754070973
"18",2,0.75,0.5,1.43411875296165,0.787509758929348,0.75308617046514,4,3,1
"19",2,0.75,0.75,1.35105259135099,0.615208629688988,0.697292701183283,2.2761423749154,1,0.942809041582064
"20",2,0.75,1,1.29478879807892,1.01449070722315,0.211008768501162,1.55305361261226,1,0.904071483483009
"21",2,1,0.01,1.8994585263431,1.14764158742134,11.7861754165236,5149.02894311755,111.264270011405,0.990289431162191
"22",2,1,0.25,1.62928936490271,0.723242026759367,1.11937299731451,13.4031242374328,9,0.850781059358212
"23",2,1,0.5,1.49371973462971,0.254839049435279,0.389953548229901,4.56155281280883,1,0.780776406404415
"24",2,1,0.75,1.40972716961138,0.664559812189591,0.368598264921113,2.53876197797734,2.93373784413272,0.737404816816342
"25",2,1,1,1.35105259135099,0.768504803741841,0.486430428540201,1.70710678118655,3,0.707106781186548
"26",4,0.01,0.01,2.08669910076776,0.612846037060022,22.2892530514041,464.639598234456,82.114007763542,56.0293324869238
"27",4,0.01,0.25,1.0026705067018,1.08924240782547,1.54796189528663,4.46610343069738,19.8848194313166,27.7076093210794
"28",4,0.01,0.5,0.953793127487353,1.02632295568463,0.921352493665574,2.11797443882314,8.98016666435527,26.4195416470094
"29",4,0.01,0.75,0.936476866348119,0.653181509507025,0.576582521227374,1.38603291949082,6.37523880270775,25.9629564680923
"30",4,0.01,1,0.927597365409727,0.757216744358748,0.755454796811481,1.02972505874832,3,25.7287766707468
"31",4,0.25,0.01,3.64615283261846,2.01007517549209,1.42320553944304,463326.354849609,22.231267508507,3.84618577402079
"32",4,0.25,0.25,2.08669910076776,0.538802965285325,1.38814807899024,18.5855839293782,9.52841194540728,2.24117329947695
"33",4,0.25,0.5,1.67457619669854,1.00324007199012,0.61008657808495,5.04335869418434,6.15938278359328,1.81251544258177
"34",4,0.25,0.75,1.48566010904647,0.40803135633541,0.784356229892378,2.62538047106055,5.18728028316793,1.61524056539667
"35",4,0.25,1,1.37473548484891,0.715569276830567,0.224724349631643,1.7153890337852,2,1.49915628916108
"36",4,0.5,0.01,3.71997501359432,0.408491515679069,1.02267905634778,3405621.42294438,51.7383723235674,1.96078544264643
"37",4,0.5,0.25,2.57325704712225,0.878626568852503,0.690553434819715,46.9386946116308,10.1728767081535,1.3723151049485
"38",4,0.5,0.5,2.08669910076776,0.775233049816448,0.386339182508353,9.2927919646891,2,1.12058664973848
"39",4,0.5,0.75,1.8325672572079,0.22182115494147,0.419154229942781,4.19425349592837,8.51882027129107,0.988553978295295
"40",4,0.5,1,1.67457619669854,0.510823370965961,0.418775467957454,2.52167934709217,12.0213456923203,0.906257721290886
"41",4,0.75,0.01,3.74524941342124,1.84542370561355,2.45381697028113,11170830.8839461,63.5294056814946,1.3157896286684
"42",4,0.75,0.25,2.85177258515764,0.223013088288941,0.277215213337454,95.6974032492119,27.1391784487561,1.01055995165325
"43",4,0.75,0.5,2.36785751187998,0.565674759052717,0.424614142009819,15.2995767409294,51.967380467544,0.84413921947069
"44",4,0.75,0.75,2.08669910076776,0.658489435254097,0.202926200167025,6.19519464312609,22.38833513475,0.747057766492317
"45",4,0.75,1,1.9028273999568,0.31108241364999,0.275324147093731,3.48765560926385,14,0.683398801458152
"46",4,1,0.01,3.7580144682235,2.57422061523863,0.589137886401568,26102706.5857344,96.2102997039549,0.990099047456333
"47",4,1,0.25,3.03008177446313,1.19145331744224,0.474730679784729,170.983475212614,26.0739912902594,0.803760647143917
"48",4,1,0.5,2.57325704712225,0.842967646640547,0.374772751604973,23.4693473058154,15,0.68615755247425
"49",4,1,0.75,2.28438905309558,0.331504342004231,0.318498058186427,8.71764505671804,52,0.611512285485834
"50",4,1,1,2.08669910076776,0.557746299878063,0.11013576673525,4.64639598234455,12,0.560293324869238
"51",6,0.01,0.01,2.86270113417936,0.262737065560801,10.1178210188592,1290.38700064499,825.003958967503,52.0155000001613
"52",6,0.01,0.25,1.0137562702588,0.503020913466149,0.594385832334167,4.78481838079709,28.1965498399442,19.6056705449566
"53",6,0.01,0.5,0.936464809310029,0.590627619565106,1.73979907700665,2.1972376531312,6,18.2205467455652
